age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,R
50,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,1,1,15024,0,52,United-States,1
30,Self-emp-inc,9,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,40,United-States,1
20,Private,9,Never-married,Other-service,Not-in-family,1,0,0,0,35,United-States,0
50,State-gov,13,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,40,United-States,1
50,Private,9,Married-civ-spouse,Transport-moving,Husband,1,1,0,0,50,United-States,1
40,Private,10,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,40,United-States,1
20,Private,11,Never-married,Tech-support,Unmarried,0,0,0,0,40,United-States,0
20,Private,9,Never-married,Adm-clerical,Own-child,1,0,0,0,40,United-States,0
20,Private,13,Never-married,Prof-specialty,Not-in-family,1,0,0,0,45,United-States,0
30,Private,13,Never-married,Transport-moving,Not-in-family,1,1,4865,0,40,United-States,1
20,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,45,United-States,1
40,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,1,1,0,1977,60,Italy,1
30,?,9,Married-civ-spouse,?,Wife,1,0,0,1485,38,United-States,1
30,Private,9,Never-married,Craft-repair,Own-child,1,1,0,0,50,United-States,0
20,Private,12,Never-married,Prof-specialty,Not-in-family,1,1,0,0,40,United-States,0
20,Local-gov,10,Never-married,Other-service,Own-child,0,0,0,0,10,Jamaica,0
30,Private,9,Never-married,Machine-op-inspct,Other-relative,1,1,0,0,40,Vietnam,0
19,Private,10,Never-married,Adm-clerical,Own-child,1,0,0,0,15,United-States,0
20,Private,9,Never-married,Craft-repair,Not-in-family,0,1,0,0,40,United-States,0
30,Private,9,Never-married,Sales,Own-child,0,0,0,0,40,United-States,0
40,Private,9,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,40,United-States,1
30,Private,13,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,45,United-States,1
40,Private,10,Married-civ-spouse,Exec-managerial,Husband,1,1,0,1887,50,United-States,1
20,Private,10,Never-married,Exec-managerial,Own-child,0,0,0,0,40,United-States,0
40,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,1,1,0,0,60,United-States,0
50,Private,13,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,40,United-States,1
30,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,40,United-States,1
40,Local-gov,9,Married-civ-spouse,Craft-repair,Husband,0,1,0,0,35,United-States,1
20,Private,10,Never-married,Other-service,Not-in-family,0,1,0,0,40,Dominican-Republic,0
20,?,6,Separated,?,Not-in-family,1,1,0,0,30,United-States,0
40,Private,10,Married-civ-spouse,Adm-clerical,Husband,1,1,5178,0,60,United-States,1
70,?,13,Divorced,?,Not-in-family,1,0,0,0,7,United-States,0
40,Private,13,Married-civ-spouse,Exec-managerial,Husband,1,1,7298,0,40,United-States,1
40,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,0,1,0,0,48,South,1
20,Private,9,Never-married,Craft-repair,Own-child,1,1,0,0,40,United-States,0
40,Federal-gov,9,Married-civ-spouse,Adm-clerical,Husband,1,1,0,0,40,Germany,1
50,Self-emp-not-inc,10,Divorced,Craft-repair,Unmarried,1,1,0,0,40,United-States,0
60,Private,7,Widowed,Sales,Not-in-family,1,0,2176,0,30,United-States,0
20,Private,10,Never-married,Tech-support,Not-in-family,1,0,0,0,16,United-States,0
20,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,1,1,0,0,40,United-States,0
18,Private,7,Never-married,Sales,Not-in-family,1,0,0,0,30,United-States,0
40,Local-gov,9,Married-civ-spouse,Exec-managerial,Husband,0,1,7298,0,38,United-States,1
30,Private,13,Married-civ-spouse,Tech-support,Husband,1,1,0,0,50,United-States,1
50,Private,10,Married-civ-spouse,Tech-support,Husband,1,1,0,0,40,United-States,1
50,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Wife,1,0,0,0,25,United-States,1
30,Private,11,Married-civ-spouse,Transport-moving,Husband,1,1,0,0,84,United-States,1
30,Private,10,Married-civ-spouse,Sales,Husband,1,1,3103,0,50,United-States,1
19,Private,9,Never-married,Machine-op-inspct,Own-child,1,0,0,0,34,United-States,0
20,Private,9,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,50,United-States,0
20,Private,13,Married-civ-spouse,Sales,Husband,1,1,3103,0,45,United-States,1
20,Private,14,Married-civ-spouse,Prof-specialty,Wife,0,0,0,0,40,Hong,1
20,Private,7,Married-civ-spouse,Machine-op-inspct,Husband,1,1,0,0,40,United-States,0
40,Private,14,Never-married,Sales,Not-in-family,1,1,0,0,50,United-States,0
40,Private,16,Divorced,Prof-specialty,Unmarried,1,0,25236,0,65,United-States,1
40,Private,9,Married-civ-spouse,Transport-moving,Husband,1,1,0,0,45,United-States,1
30,Private,14,Married-civ-spouse,Prof-specialty,Wife,1,0,0,0,50,United-States,1
40,Private,13,Married-civ-spouse,Sales,Husband,1,1,0,0,40,United-States,1
40,Private,13,Divorced,Tech-support,Unmarried,1,0,0,0,35,United-States,0
20,Private,13,Never-married,Adm-clerical,Own-child,1,0,0,0,40,United-States,0
30,Local-gov,9,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,50,United-States,1
50,Local-gov,10,Married-civ-spouse,Protective-serv,Husband,1,1,0,0,52,United-States,1
30,Private,12,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,45,United-States,1
40,Private,9,Married-civ-spouse,Transport-moving,Husband,1,1,0,0,50,United-States,1
30,Private,13,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,45,United-States,1
30,Private,9,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,40,Mexico,0
60,Private,4,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,40,United-States,0
40,Private,9,Married-civ-spouse,Sales,Husband,1,1,0,0,40,United-States,1
40,Private,14,Divorced,Sales,Not-in-family,1,1,27828,0,60,United-States,1
30,Private,9,Divorced,Adm-clerical,Not-in-family,1,1,0,0,40,United-States,0
30,Local-gov,9,Divorced,Other-service,Unmarried,0,1,0,0,40,United-States,0
40,Private,13,Divorced,Prof-specialty,Unmarried,1,0,0,0,24,Outlying-US(Guam-USVI-etc),0
40,Private,9,Married-civ-spouse,Transport-moving,Husband,1,1,0,0,50,United-States,1
30,Private,11,Married-civ-spouse,Transport-moving,Husband,1,1,0,0,30,United-States,0
20,Private,9,Never-married,Other-service,Own-child,1,0,0,0,40,United-States,0
20,Private,13,Never-married,Adm-clerical,Own-child,1,0,0,0,40,United-States,0
30,Private,9,Divorced,Adm-clerical,Unmarried,0,0,0,0,40,?,0
20,Private,9,Divorced,Other-service,Not-in-family,1,1,2597,0,40,United-States,0
60,Private,9,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,40,United-States,1
30,Private,9,Married-civ-spouse,Handlers-cleaners,Wife,1,0,0,0,40,United-States,1
30,Private,9,Married-civ-spouse,Sales,Husband,0,1,0,0,40,Hong,0
30,Private,13,Married-civ-spouse,Sales,Husband,1,1,7298,0,60,United-States,1
60,Private,13,Married-civ-spouse,Sales,Husband,1,1,0,0,40,United-States,1
50,Self-emp-not-inc,10,Married-civ-spouse,Craft-repair,Husband,1,1,0,0,40,United-States,1
30,Private,13,Married-civ-spouse,Other-service,Husband,0,1,7298,0,36,United-States,1
30,Private,9,Never-married,Craft-repair,Own-child,0,1,0,0,30,United-States,0
50,?,10,Never-married,?,Not-in-family,0,0,0,0,40,United-States,0
40,Local-gov,10,Divorced,Exec-managerial,Not-in-family,1,0,0,0,40,United-States,0
19,Private,10,Never-married,Adm-clerical,Own-child,1,0,0,0,40,United-States,0
40,Private,14,Married-civ-spouse,Exec-managerial,Husband,1,1,0,0,40,United-States,1
20,Private,13,Never-married,Exec-managerial,Not-in-family,1,0,0,0,40,United-States,0
20,Private,9,Never-married,Adm-clerical,Not-in-family,1,0,0,0,40,United-States,0
20,?,10,Never-married,?,Own-child,1,1,0,0,40,United-States,0
30,Private,10,Married-civ-spouse,Sales,Wife,1,0,4386,0,20,United-States,1
40,Self-emp-not-inc,14,Divorced,Exec-managerial,Unmarried,1,0,0,0,45,United-States,0
20,Private,13,Married-civ-spouse,Prof-specialty,Husband,1,1,0,0,40,United-States,1
60,Private,3,Widowed,Machine-op-inspct,Not-in-family,1,0,0,0,10,Italy,0
30,Private,11,Divorced,Prof-specialty,Unmarried,1,0,0,0,40,United-States,0
30,Private,13,Divorced,Tech-support,Unmarried,1,1,0,0,20,United-States,0
50,Private,9,Married-civ-spouse,Sales,Husband,0,1,0,2377,40,United-States,1
30,Private,10,Married-civ-spouse,Adm-clerical,Husband,1,1,0,0,37,United-States,0
50,Private,9,Separated,Other-service,Not-in-family,1,0,0,0,40,United-States,0
20,Private,9,Never-married,Machine-op-inspct,Not-in-family,1,1,0,0,40,United-States,0
30,Private,13,Divorced,Sales,Unmarried,1,0,1151,0,40,United-States,0
30,Local-gov,13,Separated,Prof-specialty,Not-in-family,1,0,0,0,50,United-States,0
