age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,R
40,15,1,1,99999,0,48,1
40,13,1,1,0,0,45,0
40,9,0,0,0,0,38,0
30,9,1,1,0,0,50,0
40,14,1,1,0,0,40,0
20,9,0,1,0,0,40,0
40,7,1,0,0,0,36,0
30,13,1,0,7688,0,40,1
20,10,1,0,0,0,40,0
20,10,1,0,0,0,40,0
70,4,1,0,0,0,12,0
40,13,1,1,0,0,40,0
60,10,1,1,0,0,40,0
30,9,0,1,0,0,40,0
30,9,1,1,0,0,50,0
19,10,1,0,0,0,18,0
30,13,0,1,7298,0,50,1
30,9,1,1,0,0,75,0
40,9,1,1,0,0,40,0
40,9,1,1,0,0,40,0
30,13,1,1,0,0,40,0
20,10,1,0,0,0,10,0
20,7,0,1,0,0,40,0
20,10,1,0,0,0,40,0
20,13,0,1,0,0,35,0
40,9,1,1,0,0,65,0
18,8,0,0,0,0,24,0
40,9,1,1,0,0,50,0
20,13,0,0,0,1092,40,0
19,9,1,1,0,0,40,0
30,13,1,1,0,0,40,0
20,10,1,1,0,0,40,0
50,4,1,1,0,0,40,0
60,9,1,1,0,0,45,0
30,8,1,1,0,0,20,0
40,13,1,1,0,0,40,0
40,9,1,1,0,0,40,0
20,9,1,1,0,0,40,0
40,9,1,0,0,0,48,0
20,10,0,0,0,0,40,0
20,9,1,0,0,0,40,0
50,12,1,1,0,0,55,1
30,10,1,1,0,0,60,0
40,9,1,0,0,0,25,0
17,7,0,1,0,0,20,0
30,9,1,1,0,0,40,0
20,9,1,1,0,0,60,0
30,9,1,0,0,1138,40,0
30,10,1,1,0,0,45,0
60,10,1,1,0,0,40,0
40,9,1,1,0,0,40,0
30,9,0,0,0,0,40,0
40,11,1,1,0,1902,42,1
30,14,1,1,0,0,60,0
20,10,1,1,0,0,55,0
30,13,1,1,0,0,40,0
20,13,1,0,0,0,40,0
20,10,1,1,0,0,40,0
50,14,1,1,7298,0,40,1
18,7,1,1,0,0,5,0
30,9,1,1,0,0,40,0
50,4,0,0,0,0,40,0
20,10,1,1,0,0,20,0
20,7,0,0,0,0,20,0
20,9,1,0,0,0,40,0
60,9,1,1,0,0,40,0
50,9,1,1,0,0,50,0
40,13,1,1,0,0,40,0
70,3,1,1,0,0,6,0
40,5,1,1,0,0,40,0
