timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,Race split,race|[AOD] Abs Average Odds Difference,sex|[AOD] Abs Average Odds Difference,race|[EOD] Abs Equal Opportunity Difference,sex|[EOD] Abs Equal Opportunity Difference,race|[SPD] Abs Statistical Parity Difference,sex|[SPD] Abs Statistical Parity Difference,race|[AOD] Average Odds Difference,sex|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,sex|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,sex|[SPD] Statistical Parity Difference,race|[DI] Disparate Impact,sex|[DI] Disparate Impact,race|[FR] Flip Rate,sex|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,accuracy,precision,recall,f1score,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,[MEOD] M Equal Opportunity Difference,[MEOD] M Average Odds Difference,[MEOD] Abs M Equal Opportunity Difference,[MEOD] Abs M Average Odds Difference,VAR|race|[AOD] Abs Average Odds Difference,VAR|sex|[AOD] Abs Average Odds Difference,VAR|race|[EOD] Abs Equal Opportunity Difference,VAR|sex|[EOD] Abs Equal Opportunity Difference,VAR|race|[SPD] Abs Statistical Parity Difference,VAR|sex|[SPD] Abs Statistical Parity Difference,VAR|race|[AOD] Average Odds Difference,VAR|sex|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|sex|[DI] Disparate Impact,VAR|race|[FR] Flip Rate,VAR|sex|[FR] Flip Rate,VAR|race|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|race|[DF] Differential Fairness for One Attribute,VAR|sex|[DF] Differential Fairness for One Attribute,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MEOD] M Average Odds Difference,VAR|[MEOD] Abs M Equal Opportunity Difference,VAR|[MEOD] Abs M Average Odds Difference
2023-03-09 02:11:27.401104,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Other,0.00198,0.0428,0.08052,0.00125,0.12062,0.10222,0.00198,-0.0428,0.08052,-0.00125,0.12062,-0.10222,-0.15438,0.12022,1.0,1.0,0.4071,0.40766,1.52435,1.52435,0.8251189927836634,0.87596,0.89799,0.88684,0.34886,0.83121,0.10341,0.22778,0.10341,0.22778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-09 02:11:25.373681,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Amer-Indian-Eskimo,0.19638,0.0428,0.08668,0.00125,0.17543,0.10222,0.19638,-0.0428,0.08668,-0.00125,0.17543,-0.10222,-0.22478,0.12022,1.0,1.0,0.40751,0.40794,1.52435,1.52435,0.8251189927836634,0.87596,0.89799,0.88684,0.49835,0.83121,0.10336,0.24027,0.10336,0.24027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-09 02:11:23.426313,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Black,0.05549,0.0428,0.03633,0.00125,0.10362,0.10222,0.05549,-0.0428,0.03633,-0.00125,0.10362,-0.10222,-0.1342,0.12022,1.0,1.0,0.4084,0.40867,1.52435,1.52435,0.8251189927836634,0.87596,0.89799,0.88684,0.44103,0.83121,0.04855,0.06341,0.04855,0.06341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-09 02:11:21.530048,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",Asian-Pac-Islander,0.07792,0.0428,0.07714,0.00125,0.08218,0.10222,-0.07792,-0.0428,-0.07714,-0.00125,-0.08218,-0.10222,0.10472,0.12022,1.0,1.0,0.40703,0.40772,1.52435,1.52435,0.8251189927836634,0.87596,0.89799,0.88684,0.39425,0.83121,0.14537,0.14882,0.14537,0.14882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-09 02:11:19.637313,1,True,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,"['race', 'sex']",White,0.02549,0.0428,0.02331,0.00125,0.0762,0.10222,-0.02549,-0.0428,-0.02331,-0.00125,-0.0762,-0.10222,0.08993,0.12022,1.0,1.0,0.43239,0.4329,1.52435,1.52435,0.8251189927836634,0.87596,0.89799,0.88684,0.43417,0.83121,0.02546,0.04868,0.02546,0.04868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-09 02:11:12.563935,1,True,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['race', 'sex']",Other,0.04821,0.18589,0.046,0.07934,0.10448,0.19495,0.04821,-0.18589,0.046,-0.07934,0.10448,-0.19495,-0.12787,0.20572,0.99017,0.86427,0.44142,0.44327,1.70295,1.70295,0.841701212958698,0.86972,0.93219,0.89987,0.43083,1.0098,0.09911,0.33891,0.09911,0.33891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-09 02:11:10.562704,1,True,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['race', 'sex']",Amer-Indian-Eskimo,0.15059,0.18589,0.03546,0.07934,0.12457,0.19495,0.15059,-0.18589,0.03546,-0.07934,0.12457,-0.19495,-0.15255,0.20572,0.99048,0.86458,0.44169,0.44346,1.70295,1.70295,0.841701212958698,0.86972,0.93219,0.89987,0.54723,1.0098,0.09904,0.22071,0.09904,0.22071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-09 02:11:08.644398,1,True,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['race', 'sex']",Black,0.00767,0.18589,0.02399,0.07934,0.08157,0.19495,0.00767,-0.18589,0.02399,-0.07934,0.08157,-0.19495,-0.10071,0.20572,0.9957,0.86442,0.44334,0.44514,1.70295,1.70295,0.841701212958698,0.86972,0.93219,0.89987,0.49,1.0098,0.08315,0.19398,0.08315,0.19398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-09 02:11:06.673373,1,True,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['race', 'sex']",Asian-Pac-Islander,0.03305,0.18589,0.00724,0.07934,0.00798,0.19495,0.03305,-0.18589,-0.00724,-0.07934,0.00798,-0.19495,-0.00976,0.20572,0.99324,0.8635,0.44305,0.44469,1.70295,1.70295,0.841701212958698,0.86972,0.93219,0.89987,0.5504,1.0098,0.12941,0.2928,0.12941,0.2928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-09 02:11:04.772723,1,True,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,"['race', 'sex']",White,0.03071,0.18589,0.02217,0.07934,0.0764,0.19495,-0.03071,-0.18589,-0.02217,-0.07934,-0.0764,-0.19495,0.08651,0.20572,0.91663,0.86918,0.52028,0.52279,1.70295,1.70295,0.841701212958698,0.86972,0.93219,0.89987,0.53513,1.0098,0.08825,0.19416,0.08825,0.19416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
