timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,accuracy,f1score,[MEOD] M Equal Opportunity Difference,[MEOD] M Average Odds Difference,VAR|accuracy,VAR|f1score,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MEOD] M Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[AOD] Average Odds Difference
2023-03-09 15:48:57.102483,5,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",0.6617954070981211,0.68966,0.04466,0.025170000000000005,0.0,0.0,0.0,1.2037062152420224e-35,,,,,,,,
2023-03-09 15:48:56.214790,5,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],0.6569241475295755,0.68214,,,0.0,0.0,,,0.04404,0.02546,0.0,0.0,,,,
2023-03-09 15:48:55.495509,5,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],0.6555323590814196,0.68651,,,0.0,0.0,,,,,,,0.0215,0.00207,0.0,0.0
2023-03-09 15:48:54.734585,5,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",0.8203592814371257,0.69291,0.1069,0.02676,1.232595164407831e-32,0.0,0.0,0.0,,,,,,,,
2023-03-09 15:48:49.946447,5,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],0.8208198986642101,0.69394,,,1.232595164407831e-32,0.0,,,0.07235,0.00116,0.0,0.0,,,,
2023-03-09 15:48:45.885311,5,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],0.8163672654690618,0.69629,,,1.232595164407831e-32,0.0,,,,,,,0.04108,0.00797,0.0,0.0
2023-03-09 15:48:30.344695,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['sex', 'race']",0.6617954070981211,0.68846,0.07974,0.08568,0.0,0.0,0.0,0.0,,,,,,,,
2023-03-09 15:48:30.173991,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],0.6673625608907446,0.69001,,,0.0,0.0,,,0.00602,0.01845,0.0,0.0,,,,
2023-03-09 15:48:30.018878,1,True,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],0.6659707724425887,0.69309,,,0.0,0.0,,,,,,,0.00648,0.00329,0.0,0.0
2023-03-09 15:48:29.791566,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,"['race', 'sex']",0.8188238906801781,0.676,0.08936,0.0629,0.0,0.0,0.0,0.0,,,,,,,,
2023-03-09 15:48:28.903047,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],0.8200522032857362,0.67767,,,0.0,0.0,,,0.06211,0.01711,0.0,0.0,,,,
2023-03-09 15:48:28.165146,1,True,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],0.8096115461384923,0.67539,,,0.0,0.0,,,,,,,0.0422,0.00083,0.0,0.0
