timestamp,nr samples,same data split,Dataset,Bias Mitigation,ML method,ML bias mit,Sensitive attrs,accuracy,precision,recall,f1score,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[FR] Flip Rate,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|sex|[FR] Flip Rate,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[DI] Disparate Impact,race|[FR] Flip Rate,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|race|[FR] Flip Rate
2023-03-26 18:19:36.399453,50,False,MEPS Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['sex'],0.8663039014373717,0.6696870000000001,0.3906534,0.4919224,0.029313200000000005,0.0549266,0.0338238,1.4441846,0.0,0.00013400950377157232,0.002440143348999999,0.0016839375624400005,0.00141969185024,0.00045964785776,0.00161719807844,0.00025462995955999996,0.06858107879283999,0.0,,,,,,,,,,
2023-03-26 18:19:05.626922,50,False,MEPS Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['race'],0.8675975359342916,0.6755397999999999,0.3988062,0.5004368,,,,,,7.606221723749736e-05,0.00147804270996,0.00124527633156,0.0009873514137599,,,,,,0.0421216,0.0815536,0.0288258,0.7638447999999998,0.0,0.0006466617894399,0.00251707977504,0.00024208792436,0.02817623154896,0.0
2023-03-26 18:18:32.617543,50,False,MEPS Dataset,No Bias Mitigation,RandomForestClassifier,,['sex'],0.8645585215605749,0.6663622000000001,0.3891194,0.4903568,0.0331827999999999,0.0652196,0.0350676,1.467954,0.0108012,9.574775792789108e-05,0.00193212053316,0.00085869205764,0.00076086252576,0.00053516109216,0.00208023547584,0.00032612727024,0.093193658768,1.750819456e-05,,,,,,,,,,
2023-03-26 18:18:18.013322,50,False,MEPS Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],0.8663655030800822,0.6729542000000001,0.3981853999999999,0.4987552,,,,,,9.804654065244603e-05,0.00203303471236,0.00130239061684,0.0009185870369599,,,,,,0.0463153999999999,0.0873036,0.0295512,0.7372525999999999,0.0118684,0.00069762427684,0.00274858665904,0.0002230971545599,0.01591351885524,1.2780797440000002e-05
2023-03-26 18:18:02.577318,50,False,MEPS Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],0.8035934291581108,0.438384,0.7157332,0.542996,0.033729,0.052888,0.0692032,1.3063216,0.055707,0.0001678655304866,0.001119934132,0.00085634571776,0.0008659009839999,0.000694261741,0.0014753394199999,0.00061846688976,0.01585589768544,0.000113387021,,,,,,,,,,
2023-03-26 18:17:57.869748,50,False,MEPS Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],0.8032032854209445,0.4434053999999999,0.7123026000000001,0.5460440000000001,,,,,,0.0001170658897242,0.00076086164484,0.0010223967632399,0.0006614265679999,,,,,,0.0361974,0.0662644,0.0283332,0.9393324,0.0117456,0.00066397513524,0.00239925895264,0.0004316596457599,0.0123933593502399,3.862057264e-05
2023-03-26 18:17:50.955896,50,False,MEPS Dataset,No Bias Mitigation,LogisticRegression,,['sex'],0.8705338809034909,0.6806883999999997,0.4028386,0.505244,0.0427319999999999,0.0750148,0.051273,1.7568268000000002,0.010985,8.707925572060422e-05,0.00184611689344,0.0010745946000399,0.000985912088,0.00078231386,0.00222919548096,0.000304082381,0.11223378332176,2.7754161000000003e-05,,,,,,,,,,
2023-03-26 18:17:47.843032,50,False,MEPS Dataset,No Bias Mitigation,LogisticRegression,,['race'],0.8684599589322382,0.6890156000000002,0.3924709999999999,0.4992558,,,,,,7.904237063022546e-05,0.00177279280064,0.001116643197,0.00107585276436,,,,,,0.0606272,0.1206267999999999,0.0326433999999999,0.7053318000000001,0.0172066,0.00117941697616,0.00482458948576,0.00024868641044,0.0229067682987599,1.790169044e-05
2023-03-26 18:17:42.879893,50,False,Compas Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['sex'],0.646402226861517,0.6671732000000001,0.7181592000000001,0.6915078000000001,0.0470221999999999,0.0380012,0.0747312,1.12948,0.0,0.0001505425020908,0.00024079021776,0.0003983476273599,0.0001586111411599,0.00077856953716,0.00082518105456,0.0008714137305599,0.002720314212,0.0,,,,,,,,,,
2023-03-26 18:17:18.281978,50,False,Compas Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['race'],0.6461934585942938,0.6624436,0.7264541999999998,0.6927949999999999,,,,,,0.0001277131036833,0.0001526629270399,0.0003204512083599,0.000103361425,,,,,,0.1193534,0.0961896,0.1387808,0.8005876,0.0,0.00055085272244,0.00069964837984,0.00056969565936,0.00096284320224,0.0
2023-03-26 18:16:53.433275,50,False,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,['sex'],0.649561586638831,0.6651950000000001,0.7270706,0.6946680000000001,0.10718,0.091692,0.1380528,1.2419978,0.2629642,0.0001099694959101,0.000203115769,0.00020945144564,0.0001440834879999,0.001298573632,0.001362810244,0.00101288562816,0.00349417440116,0.00032384068036,,,,,,,,,,
2023-03-26 18:16:41.170157,50,False,Compas Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],0.6496450939457202,0.6648316,0.7289404,0.6952518000000001,,,,,,0.0001087902045987,0.00013603200144,0.00033263106784,0.00011001310276,,,,,,0.1209466,0.110216,0.1414619999999999,0.7972892,0.2466392,0.00111227772644,0.0013546836559999,0.000957071412,0.00148917030336,0.0004239049473599
2023-03-26 18:16:28.846905,50,False,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],0.6610995128740431,0.7002220000000001,0.6689298000000001,0.6840371999999999,0.0344914,0.0358994,0.0438424,1.0730252,0.065943,0.0001477988289412,0.000271988496,0.0004403994419599,0.00023854377216,0.00055113266404,0.0008225938136399,0.00100996499424,0.00623507355296,0.000117580921,,,,,,,,,,
2023-03-26 18:16:24.830356,50,False,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],0.6622546972860125,0.6964099999999999,0.6813782,0.6886665999999999,,,,,,0.0001531569723322,0.0002557572239999,0.00028532244676,0.00017175611044,,,,,,0.0268444,0.048997,0.0202266,0.99229,0.1610016,0.0003265712806399,0.000904141613,0.00025542385844,0.002153296348,0.00013307376944
2023-03-26 18:16:20.899841,50,False,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],0.6740431454418928,0.679362,0.7688339999999999,0.7211002,0.2448072,0.1848286,0.2671744,1.4705216,0.1437718,9.346387282327238e-05,0.000259359896,0.0002348678719999,8.360845396000011e-05,0.00104665309616,0.0009060807200399,0.00064275076864,0.00256294970944,0.00033642787076,,,,,,,,,,
2023-03-26 18:16:17.722100,50,False,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],0.6745720250521922,0.6807902,0.7666802,0.7210132,,,,,,0.0001192998054692,0.0002342485859599,0.0002592130819599,0.0001213248897599,,,,,,0.126862,0.0822916,0.1473049999999999,0.7949848,0.0111896,0.000913916856,0.00125026256944,0.0008101414769999,0.0012779468169599,9.271825984e-05
2023-03-26 18:16:14.045218,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['sex'],0.8260617227084291,0.6663214,0.5566966,0.6064062,0.04053,0.0690597999999999,0.1108394,0.5342938,0.0,1.811446141248068e-05,0.0002045171160399,0.0001661337104399,7.024431555999998e-05,0.0002363398759999,0.0008710165699599,0.00010182085364,0.0012329982035599,0.0,,,,,,,,,,
2023-03-26 18:14:32.204724,50,False,Adult Dataset,FairMask Bias Mitigation,RandomForestClassifier,DecisionTreeRegressor,['race'],0.8384093351758023,0.7150934,0.5448934,0.6183844000000001,,,,,,1.4257855923580272e-05,0.00016156299844,0.00013650013044,8.15495606399999e-05,,,,,,0.0301753999999999,0.0426668,0.0753182,0.6129104000000001,0.0,0.00034721024084,0.00097904434176,0.00013545864676,0.00279249799984,0.0
2023-03-26 18:12:51.731313,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['sex'],0.8387624750499002,0.7200637999999999,0.5395222,0.6167222,0.1608688,0.2457326,0.1883777999999999,0.2231429999999999,0.1299772,1.187105763434462e-05,0.0001528711195599,0.0001752242211599,9.867746515999992e-05,0.00033942234256,0.00115250563924,8.981677716e-05,0.0006380448689999,7.243936016000002e-05,,,,,,,,,,
2023-03-26 18:12:05.231041,50,False,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],0.8389098725625672,0.7228116,0.539125,0.6174475999999999,,,,,,1.6686503217448863e-05,0.0001671375534399,0.0001902467409999,0.0001002345342399,,,,,,0.0636102,0.0927277999999999,0.092907,0.5204854,0.084094,0.00038994948596,0.00122153492916,0.000119936909,0.00244660958484,6.176826400000001e-05
2023-03-26 18:11:19.522658,50,False,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],0.8142484262244742,0.5829446,0.8107832,0.6781822,0.0216955999999999,0.0457198,0.1899002,0.5235084,0.0571194,1.5762685025724983e-05,8.958490484000005e-05,8.145456176000002e-05,5.383223316000007e-05,0.00016277200864,0.00032771607396,0.00015674928996,0.0006583909534399,3.102575764e-05,,,,,,,,,,
2023-03-26 18:10:59.938841,50,False,Adult Dataset,FairBalance Bias Mitigation,LogisticRegression,,['race'],0.8105727007523416,0.5724513999999999,0.8438212000000002,0.6820818,,,,,,2.069895334347544e-05,7.624480404000006e-05,8.808640656000004e-05,4.945219076000008e-05,,,,,,0.0140898,0.0387189999999999,0.0954575999999999,0.741717,0.0626832,0.00012253569796,0.000576377793,0.00024424791024,0.001469681921,2.2626413760000003e-05
2023-03-26 18:10:40.951210,50,False,Adult Dataset,No Bias Mitigation,LogisticRegression,,['sex'],0.8503208966682021,0.7326272,0.5992958,0.6591978000000001,0.0987017999999999,0.1191281999999999,0.184117,0.2881443999999999,0.0920254,1.5575986413123684e-05,0.0001664235801599,0.00012374699636,8.378846916e-05,0.0003097737947599,0.00109586318676,7.094337299999997e-05,0.00051929626464,2.238666884e-05,,,,,,,,,,
2023-03-26 18:10:26.457558,50,False,Adult Dataset,No Bias Mitigation,LogisticRegression,,['race'],0.8511008751727316,0.7319016,0.6002634,0.6594922000000001,,,,,,1.2859554132236736e-05,0.00010234042544,0.00015064559844,8.091383715999999e-05,,,,,,0.0538948,0.0741068,0.0963904,0.543989,0.0183264,0.0004368700929599,0.0011898220657599,0.0001368990038399,0.002530200069,1.502110704e-05
